codigo_postal,localidad
6105,CAÑADA SECA
6106,AARON CASTELLANOS
6200,REALICO
6201,CHANILAO
6203,EL OLIVO
6205,EL GUANACO
6207,ALTA ITALIA
6212,ADOLFO VAN PRAET
6213,LOTE 11 ESCUELA 107
6214,CASIMIRO GOMEZ
6216,BAGUAL
6220,BERNARDO LARROUDE
6221,CEBALLOS
6223,CORONEL CHARLONE
6228,AGUAS BUENAS
6230,FRANCISCO CASAL
6231,CUENCA
6233,CONDARCO
6235,VILLA SAUCE
6237,AMERICA
6239,GONZALEZ MORENO
6241,EL DIA
6242,DRABBLE
6244,BANDERALO
6269,LA COLINA
6277,BUENA ESPERANZA
6279,BATAVIA
6300,BARRANCAS COLORADAS
6301,ATALIVA ROCA
6303,CACHIRULO
6305,ATREUCO
6307,COLONIA LA ORACION
6309,ALPACHIRI
6311,CAMPO DE LOS TOROS
6312,RICARDO LAVALLE
6313,BAJO DE LAS PALOMAS
6315,COLONIA BARON
6317,LA FLORENCIA
6319,CARRO QUEMADO
6321,CAICHUE
6323,ALGARROBO DEL AGUILA
6325,COLONIA DEVOTO
6326,ANGUIL
6330,ARTURO ALMARAZ
6331,COLONIA BEAUFORT
6333,ALFREDO PEÑA
6335,GRACIARENA
6337,INGENIERO THOMPSON
6338,LEUBUCO
6339,CAILOMUTA
6341,CHAPI TALO
6343,LOS GAUCHOS
6345,LA BILBAINA
6346,PELLEGRINI
6348,BOCAYUBA
6352,COLONIA LA INDIA
6354,COLONIA LA GAVIOTA
6360,BARRIO EL MOLINO
6361,AGUSTONI
6365,AZTEAZU
6367,ARGENTINA BELVEDERE
6369,CAMPO SALUSSO
6380,BOEUF
6381,CAMPO CARETTO
6383,CAMPO MOISES SECCION 1A
6385,ARATA
6387,CALEUFU
6389,ALEGRIA
6400,BARRIO INDIO TROMPA
6401,SUNDBLAD
6403,BADANO
6405,30 DE AGOSTO
6407,GIRODIAS
6409,JOSE MARIA BLANCO
6411,BRAVO DEL DOS
6417,CASBAS
6422,PRIMERA JUNTA
6424,BERUTI
6430,ADOLFO ALSINA
6431,ESTACION LAGO EPECUEN
6433,ARTURO VATTEONE
6434,PALANTELEN
6435,GUAMINI
6437,ALAMOS
6438,MASUREL
6439,BONIFACIO
6441,COLONIA BARON HIRSCH
6443,ARANO
6450,ABEL
6451,ANCON
6453,CARLOS SALAS
6455,CARLOS TEJEDOR
6457,INGENIERO BEAUGEY
6459,COLONIA SERE
6461,CAPITAN CASTRO
6463,ALAGON
6465,CORACEROS
6467,EL TRIO
6469,ASTURIAS
6471,ATAHUALPA
6472,FRANCISCO MADERO
6474,CAMPO ARISTIMUÑO
6475,ESTEBAN DE LUCA
6476,CHICLANA
6500,9 DE JULIO
6501,12 DE OCTUBRE
6503,DESVIO KILOMETRO 234
6505,DUDIGNAC
6507,CORBETT
6509,DEL VALLE
6511,HALE
6513,COLONIA LAS YESCAS
6515,CARLOS MARIA NAON
6516,AMALIA
6530,CARLOS CASARES
6531,ALGARROBO
6533,ALFREDO DEMARCHI
6535,BELLOCQ
6537,EL CAMOATI
6538,LA DORITA
6550,BOLIVAR
6551,JUAN F IBARRA
6553,LA TORRECITA
6555,ALFALAD
6557,ARBOLEDA
6559,RECALDE
6561,BLANCA GRANDE
6600,KILOMETRO 125
6601,ALTAMIRA
6603,INGENIERO WILLIAMS
6605,CAMPO PEÑA LOPEZ
6607,ANASAGASTI
6608,AGOTE
6612,CAPDEPONT
6614,FRANKLIN
6616,CASTILLA
6620,CHIVILCOY
6621,ANDERSON
6623,INDACOCHEA
6625,CAÑADA LA RICA
6627,ACHUPALLAS
6628,COLONIA ZAMBUNGO
6632,BENITEZ
6634,ALBERTI
6640,ASAMBLEA
6641,COMODORO PY
6643,ARAUJO
6645,LA LIMPIA
6646,COLONIA SAN EDUARDO
6648,MECHA
6651,INGENIERO DE MADRID
6652,OLASCOAGA
6660,25 DE MAYO
6661,BLAS DURAÑONA
6663,JUAN VELA
6665,ERNESTINA
6667,AGUSTIN MOSCONI
6700,CAMINERA LUJAN
6701,CARLOS KEEN
6703,ALASTUEY
6705,VILLA RUIZ
6706,EST JAUREGUI VA FLANDRIA
6708,COLONIA NAC DE ALIENADOS
6712,CORTINES
6720,KILOMETRO 125
6721,AZCUENAGA
6723,CUCULLU
6725,CARMEN DE ARECO
6727,GOUIN
6734,RAWSON
6740,CHACABUCO
6743,COLIQUEO
6746,CUCHA CUCHA
6748,MEMBRILLAR
7000,CANTERA AGUIRRE
7001,LA PASTORA
7003,ACEILAN
7005,BARKER
7007,CAMINERA NAPALEOFU
7009,IRAOLA
7011,ANEQUE GRANDE
7013,DE LA CANAL
7020,BENITO JUAREZ
7021,ALZAGA
7100,DOLORES
7101,CERRO DE LA GLORIA CANAL 15
7103,FARO SAN ANTONIO
7105,SAN CLEMENTE DEL TUYU
7106,LAS TONINAS
7107,SANTA TERESITA
7108,COSTA DEL ESTE
7109,BARRIO PEDRO ROCCO
7110,CUARTEL IV
7111,SAN BERNARDO DEL TUYU
7112,AGUAS VERDES
7113,LA LUCILA DEL MAR
7114,CANAL 15 CERRO DE LA GLORIA
7116,CAMARON CHICO
7118,GENERAL GUIDO
7119,CARI LARQUEA
7130,CAMINERA SAMBOROMBON
7135,COMANDANTE GIRIBONE
7136,ADELA
7150,AYACUCHO
7151,LANGUEYU
7153,CANGALLO
7160,LA UNION
7161,LABARDEN
7163,CLAVERIE
7165,FARO QUERANDI
7167,CARILO
7169,JUANCHO
7172,COLONIA FERRARI
7174,ARROYO GRANDE
7200,EL GUALICHO
7201,COLMAN
7203,CHAPALEUFU
7205,LA ESPERANZA ROSAS LAS FLORES
7207,EL TRIGO
7208,CORONEL BOERR
7212,DOCTOR DOMINGO HAROSTEGUY
7214,CACHARI
7220,FUNKE
7221,FRANCISCO BERRA
7223,BONNEMENT
7225,CASALINS
7226,GORCHS
7228,ABBOTT
7240,KILOMETRO 112
7241,LA PORTEÑA
7243,ANTONIO CARBONI
7245,CAMPO SABATE
7247,BARRIENTOS
7249,EL ARAZA
7260,BARRIO VILLA SALADILLO
7261,SALADILLO NORTE
7263,EL CHUMBEAU
7265,CAZON
7267,ALVAREZ DE TOLEDO
7300,AZUL
7301,ARIEL
7303,ALTONA
7305,ANTONIO DE LOS HEROS
7307,CROTTO
7311,CHILLAR
7313,16 DE JULIO
7316,FORTIN IRENE
7318,COLONIA HINOJO
7400,BARRIO LA LUISA
7401,CANTERAS DE GREGORINI
7403,ALVARO BARROS
7404,FORTIN LAVALLE
7406,ALDECON
7407,LIBANO
7408,LA COLINA
7412,LAS HERMANAS
7414,LAPRIDA
7500,EL CARRETERO
7501,INDIO RICO
7503,CRISTIANO MUERTO
7505,BALNEARIO CLAROMECO
7507,EL BOMBERO
7509,ORIENTE
7511,BALNEARIO OCEANO
7513,ADOLFO GONZALES CHAVES
7515,CLAUDIO C MOLINA
7517,JUAN E BARRA
7519,SAN MAYOL
7521,DEFERRARI
7530,CORONEL PRINGLES
7531,DESPEÑADEROS
7533,QUIÑIHUAL ESTACION
7535,PONTAUT
7536,ESTACION CORONEL PRINGLES
7540,BATHURST ESTACION
7541,D ORBIGNY
7543,LA PRIMAVERA
7545,HUANGUELEN
7547,CASCADA
7548,CURA MALAL
7600,BARRIO EMIR RAMON JUAREZ
7601,BARRIO BATAN
7603,COMANDANTE NICANOR OTAMENDI
7605,BARRIO CHAPADMALAL
7607,BALNEARIO ATLANTIDA
7609,BALNEARIO LA CALETA
7612,CAMET
7613,CALFUCURA
7620,BALCARCE
7621,LA SARA
7623,CAMPO LA PLATA
7630,HOSPITAL NECOCHEA
7631,COSTA BONITA BALNEARIO
7633,MAORI
7635,EL LENGUARAZ
7637,LA DULCE
7639,COOPER
7641,BALNEARIO LOS ANGELES
8000,ADELA CORTI
8101,CALDERON
8103,GARRO
8105,AGUARA
8107,BASE AERONAVAL CMTE ESPORA
8109,ALMIRANTE SOLIER
8111,ARROYO PAREJA
8113,BATERIAS
8115,BAJO HONDO
8117,ALFEREZ SAN MARTIN
8118,CABILDO
8122,LA VITICOLA
8124,BERRAONDO
8126,ALDEA SAN ANDRES
8127,ESTELA
8129,17 DE AGOSTO
8132,BALNEARIO CHAPALCO
8133,LA ROSA
8134,ARGERICH
8136,ALGARROBO
8138,ANZOATEGUI
8142,COLONIA BARGA
8144,COLONIA MONTE LA PLATA
8146,EL RINCON
8148,ESTANCIA LAS ISLETAS
8150,CAMPO LA LIMA
8151,EL ZORRO
8153,BALNEARIO ORIENTE
8154,CALVO
8156,EL PERDIDO EST JOSE GUISASOLA
8158,APARICIO
8160,FORTIN CHACO
8162,GARCIA DEL RIO
8164,ARQUEDAS
8166,SALDUNGARAY
8168,SIERRA DE LA VENTANA
8170,ABRA DE HINOJO
8171,ESPARTILLAR
8172,ARROYO CORTO
8174,ARROYO AGUAS BLANCAS
8175,GOYENA
8180,COLONIA DR GDOR UDAONDO
8181,AZOPARDO
8183,AVESTRUZ
8185,CAMPO DEL NORTE AMERICANO
8187,BORDENAVE
8200,COLONIA LIA Y ALLENDE
8201,25 DE MAYO
8203,LA CHIRLANDIA
8204,BERNASCONI
8206,COLONIA ESPAÑA
8208,CAMPO CICARE
8212,ABRAMO
8214,COLONIA CAZAUX
8300,LAS PERLAS
8301,PLANICIE BANDERITA
8303,CINCO SALTOS
8305,AGUADA SAN ROQUE
8307,COLONIA GOBERNADOR AYALA
8308,VILLA MANZANO
8309,CENTENARIO
8311,VILLA EL CHOCON
8313,ARROYITO
8315,ACHICO
8316,BALSA SENILLOSA
8318,CHALLACO
8319,CAMPAMENTO SOL
8322,CUTRAL CO
8324,CIPOLLETTI
8326,CERVANTES
8328,ALLEN
8332,COLONIA RUSA
8333,AGUADA GUZMAN
8334,INGENIERO HUERGO
8336,GOBERNADOR DUVAL
8340,AGUADA FLORENCIO
8341,ARROYO QUILLEN
8345,ALUMINE
8347,ARROYO CAHUNCO
8349,AGUAS DE LAS MULAS
8351,AGRIO BALSA
8353,AGUADA CHACAY CO
8360,BUENA ESPERANZA
8361,ISLA GRANDE
8363,COLONIA JOSEFA
8364,CHIMPAY
8366,CHELFORO
8370,CAMINERA
8371,ATREUCO
8373,ALIANZA
8375,CAÑADON DE LOS INDIOS
8379,GENTE GRANDE
8400,ISLA VICTORIA
8401,CULLIN MANZANO
8402,DINA HUAPI
8403,ALICURA
8407,CORRENTOSO
8409,PUERTO OJO DE AGUA
8411,CASCADA LOS CANTAROS
8412,CAÑADON DEL CORRAL
8415,ARROYO LAS MINAS
8416,ANECON GRANDE
8417,CAÑADON CHILENO
8418,ANECON CHICO
8422,AGUADA DE PIEDRA
8424,AGUADA DE GUERRA
8430,COSTA DEL RIO AZUL
8431,EL HOYO
8500,EL DIQUE
8501,BAHIA CREEK
8503,CHOCORI
8504,CANTERA VILLALONGA
8505,EMILIO LAMARCA
8506,BAHIA SAN BLAS
8508,AMBROSIO P LEZICA
8512,IGARZABAL
8514,LAGUNA DEL BARRO
8520,AGUADA DEL LORO
8521,ARROYO DE LA VENTANA
8532,ARROYO SALADO
8534,AGUADA CECILIO
8536,CHIPAUQUIL
9000,COMODORO RIVADAVIA
9001,CAÑADON FERRAIS
9003,BAHIA SOLANO
9007,EL JAGUEL
9009,CAÑADON LAGARTO
9011,BAHIA LANGARA
9013,CAÑADON SECO
9015,ALMA GRANDE
9017,CAMERON
9019,AGUADA ESCONDIDA
9020,ARROYO QUILLA
9021,COLHUE HUAPI
9023,BUEN PASTO
9030,RIO MAYO
9031,BAJO LA CANCHA
9033,ALDEA APELEG
9035,ARROYO CHALIA
9037,ALDEA BELEIRO
9039,HITO 45
9040,CAÑADON BOTELLO
9041,LOS ANTIGUOS
9050,GOBERNADOR MOYANO
9051,AGUADA A PIQUE
9053,AGUADA GRANDE
9100,CERRO SANTA ANA
9101,ALTO DE LAS PLUMAS
9103,BAJO DE LOS HUESOS
9105,ANGOSTURA
9107,28 DE JULIO
9111,BAHIA BUSTAMANTE
9113,FLORENTINO AMEGHINO
9120,BAHIA CRACHER
9121,AGUADA DE LAS TEJAS
9200,ARROYO PESCADO
9201,CACHEL
9203,ALDEA ESCOLAR
9207,ARROYO GUILAIA
9210,CUESTA DEL TERNERO
9211,CUSHAMEN
9213,CAÑADON CALIENTE
9217,CHOLILA
9220,CAÑADON LA MADERA
9221,VALLE HONDO
9223,ALTO RIO PICO
9225,ARENOSO
9227,EL PORVENIR
9300,CAÑADON DE LAS VACAS
9301,EL CHALTEN
9303,CAÑADON DEL TORO
9305,CAÑADA DE LAS VACAS
9310,AGUADA ALEGRE
9311,CAÑADON LEON
9313,CARA MALA
9315,BAJO CARACOLES
9400,AN AIKE
9401,EL ZURDO
9405,BAHIA TRANQUILA
9407,28 DE NOVIEMBRE
9409,ISLA GRAN MALVINA
9410,BAHIA LAPATAIA
9411,BASE AEREA TENIENTE MATIENZO
9420,ASERRADERO ARROYO
9421,FRIGORIFICO CAP
